frame_no,rel_time,src,dst,srcport,dstport,proto,length,tcp_stream,seq,ack,win,flags,is_retx,is_ooo,is_ka,is_zerowin,opcua_type,opcua_service,opcua_reqid,opcua_seq,opcua_chunk
415,2025-08-12 15:26:50.337019,192.168.159.241,192.168.159.198,62998,4840,TCP,54,14,1,1,65535,,0,0,0,0,,,,,
416,2025-08-12 15:26:50.339768,192.168.159.241,192.168.159.198,62998,4840,TCP,116,14,1,1,65535,,0,0,0,0,,,,,
417,2025-08-12 15:26:50.386735,192.168.159.198,192.168.159.241,4840,62998,TCP,82,14,1,63,8192,,0,0,0,0,,,,,
418,2025-08-12 15:26:50.389233,192.168.159.241,192.168.159.198,62998,4840,TCP,187,14,63,29,65507,,0,0,0,0,,,,,
419,2025-08-12 15:26:50.406688,192.168.159.198,192.168.159.241,4840,62998,TCP,190,14,29,196,8192,,0,0,0,0,,,,,
420,2025-08-12 15:26:50.410057,192.168.159.241,192.168.159.198,62998,4840,TCP,355,14,196,165,65371,,0,0,0,0,,,,,
421,2025-08-12 15:26:50.522141,192.168.159.198,192.168.159.241,4840,62998,TCP,1514,14,165,497,8192,,0,0,0,0,,,,,
422,2025-08-12 15:26:50.530116,192.168.159.198,192.168.159.241,4840,62998,TCP,1514,14,1625,497,8192,,0,0,0,0,,,,,
423,2025-08-12 15:26:50.530116,192.168.159.198,192.168.159.241,4840,62998,TCP,1514,14,3085,497,8192,,0,0,0,0,,,,,
424,2025-08-12 15:26:50.530181,192.168.159.241,192.168.159.198,62998,4840,TCP,54,14,497,4545,65535,,0,0,0,0,,,,,
425,2025-08-12 15:26:50.532087,192.168.159.198,192.168.159.241,4840,62998,TCP,1514,14,4545,497,8192,,0,0,0,0,,,,,
426,2025-08-12 15:26:50.532145,192.168.159.241,192.168.159.198,62998,4840,TCP,54,14,497,6005,65535,,0,0,0,0,,,,,
427,2025-08-12 15:26:50.534909,192.168.159.198,192.168.159.241,4840,62998,TCP,1514,14,6005,497,8192,,0,0,0,0,,,,,
428,2025-08-12 15:26:50.537945,192.168.159.198,192.168.159.241,4840,62998,TCP,946,14,7465,497,8192,,0,0,0,0,,,,,
429,2025-08-12 15:26:50.538009,192.168.159.241,192.168.159.198,62998,4840,TCP,54,14,497,8357,65535,,0,0,0,0,,,,,
430,2025-08-12 15:26:50.545945,192.168.159.198,192.168.159.241,4840,62998,TCP,1514,14,8357,497,8192,,0,0,0,0,,,,,
431,2025-08-12 15:26:50.547865,192.168.159.198,192.168.159.241,4840,62998,TCP,1430,14,9817,497,8192,,0,0,0,0,,,,,
432,2025-08-12 15:26:50.547926,192.168.159.241,192.168.159.198,62998,4840,TCP,54,14,497,11193,65535,,0,0,0,0,,,,,
433,2025-08-12 15:26:50.552135,192.168.159.241,192.168.159.198,62998,4840,TCP,171,14,497,11193,65535,,0,0,0,0,,,,,
434,2025-08-12 15:26:50.566762,192.168.159.198,192.168.159.241,4840,62998,TCP,106,14,11193,614,8192,,0,0,0,0,,,,,
435,2025-08-12 15:26:50.571687,192.168.159.241,192.168.159.198,62998,4840,TCP,183,14,614,11245,65483,,0,0,0,0,,,,,
436,2025-08-12 15:26:50.696966,192.168.159.198,192.168.159.241,4840,62998,TCP,106,14,11245,743,8192,,0,0,0,0,,,,,
437,2025-08-12 15:26:50.697093,192.168.159.241,192.168.159.198,62998,4840,TCP,117,14,743,11297,65431,,0,0,0,0,,,,,
438,2025-08-12 15:26:50.699725,192.168.159.241,192.168.159.198,62998,4840,TCP,111,14,806,11297,65431,,0,0,0,0,,,,,
439,2025-08-12 15:26:50.701597,192.168.159.241,192.168.159.198,62999,4840,TCP,66,15,0,0,65535,,0,0,0,0,,,,,
440,2025-08-12 15:26:50.709623,192.168.159.198,192.168.159.241,4840,62998,TCP,60,14,11297,864,8135,,0,0,0,0,,,,,
441,2025-08-12 15:26:50.712826,192.168.159.198,192.168.159.241,4840,62999,TCP,60,15,0,1,8192,,0,0,0,0,,,,,
442,2025-08-12 15:26:50.713013,192.168.159.241,192.168.159.198,62999,4840,TCP,54,15,1,1,65535,,0,0,0,0,,,,,
443,2025-08-12 15:26:50.714901,192.168.159.241,192.168.159.198,62999,4840,TCP,116,15,1,1,65535,,0,0,0,0,,,,,
444,2025-08-12 15:26:50.717712,192.168.159.198,192.168.159.241,4840,62998,TCP,106,14,11297,864,8135,,0,0,0,0,,,,,
445,2025-08-12 15:26:50.717801,192.168.159.241,192.168.159.198,62998,4840,TCP,54,14,864,11349,0,,0,0,0,0,,,,,
446,2025-08-12 15:26:50.775923,192.168.159.198,192.168.159.241,4840,62999,TCP,82,15,1,63,8192,,0,0,0,0,,,,,
447,2025-08-12 15:26:50.778721,192.168.159.241,192.168.159.198,62999,4840,TCP,187,15,63,29,65507,,0,0,0,0,,,,,
448,2025-08-12 15:26:50.790930,192.168.159.198,192.168.159.241,4840,62999,TCP,190,15,29,196,8192,,0,0,0,0,,,,,
449,2025-08-12 15:26:50.798255,192.168.159.241,192.168.159.198,62999,4840,TCP,355,15,196,165,65371,,0,0,0,0,,,,,
450,2025-08-12 15:26:50.913761,192.168.159.198,192.168.159.241,4840,62999,TCP,1514,15,165,497,8192,,0,0,0,0,,,,,
451,2025-08-12 15:26:50.916786,192.168.159.198,192.168.159.241,4840,62999,TCP,1514,15,1625,497,8192,,0,0,0,0,,,,,
452,2025-08-12 15:26:50.916831,192.168.159.241,192.168.159.198,62999,4840,TCP,54,15,497,3085,65535,,0,0,0,0,,,,,
453,2025-08-12 15:26:50.918750,192.168.159.198,192.168.159.241,4840,62999,TCP,1514,15,3085,497,8192,,0,0,0,0,,,,,
454,2025-08-12 15:26:50.918750,192.168.159.198,192.168.159.241,4840,62999,TCP,1514,15,4545,497,8192,,0,0,0,0,,,,,
455,2025-08-12 15:26:50.918783,192.168.159.241,192.168.159.198,62999,4840,TCP,54,15,497,6005,65535,,0,0,0,0,,,,,
456,2025-08-12 15:26:50.921768,192.168.159.198,192.168.159.241,4840,62999,TCP,1514,15,6005,497,8192,,0,0,0,0,,,,,
457,2025-08-12 15:26:50.921768,192.168.159.198,192.168.159.241,4840,62999,TCP,946,15,7465,497,8192,,0,0,0,0,,,,,
458,2025-08-12 15:26:50.921801,192.168.159.241,192.168.159.198,62999,4840,TCP,54,15,497,8357,65535,,0,0,0,0,,,,,
459,2025-08-12 15:26:50.929757,192.168.159.198,192.168.159.241,4840,62999,TCP,1514,15,8357,497,8192,,0,0,0,0,,,,,
460,2025-08-12 15:26:50.931747,192.168.159.198,192.168.159.241,4840,62999,TCP,1430,15,9817,497,8192,,0,0,0,0,,,,,
461,2025-08-12 15:26:50.931815,192.168.159.241,192.168.159.198,62999,4840,TCP,54,15,497,11193,65535,,0,0,0,0,,,,,
462,2025-08-12 15:26:50.937095,192.168.159.241,192.168.159.198,62999,4840,TCP,171,15,497,11193,65535,,0,0,0,0,,,,,
463,2025-08-12 15:26:50.955740,192.168.159.198,192.168.159.241,4840,62999,TCP,106,15,11193,614,8192,,0,0,0,0,,,,,
464,2025-08-12 15:26:50.960439,192.168.159.241,192.168.159.198,62999,4840,TCP,160,15,614,11245,65483,,0,0,0,0,,,,,
465,2025-08-12 15:26:51.088720,192.168.159.198,192.168.159.241,4840,62999,TCP,106,15,11245,720,8192,,0,0,0,0,,,,,
466,2025-08-12 15:26:51.088807,192.168.159.241,192.168.159.198,62999,4840,TCP,117,15,720,11297,65431,,0,0,0,0,,,,,
467,2025-08-12 15:26:51.091318,192.168.159.241,192.168.159.198,62999,4840,TCP,111,15,783,11297,65431,,0,0,0,0,,,,,
468,2025-08-12 15:26:51.093050,192.168.159.241,192.168.159.198,63000,4840,TCP,66,16,0,0,65535,,0,0,0,0,,,,,
469,2025-08-12 15:26:51.104630,192.168.159.198,192.168.159.241,4840,62999,TCP,60,15,11297,841,8135,,0,0,0,0,,,,,
470,2025-08-12 15:26:51.106574,192.168.159.198,192.168.159.241,4840,63000,TCP,60,16,0,1,8192,,0,0,0,0,,,,,
471,2025-08-12 15:26:51.106697,192.168.159.241,192.168.159.198,63000,4840,TCP,54,16,1,1,65535,,0,0,0,0,,,,,
472,2025-08-12 15:26:51.107620,192.168.159.198,192.168.159.241,4840,62999,TCP,106,15,11297,841,8135,,0,0,0,0,,,,,
473,2025-08-12 15:26:51.107705,192.168.159.241,192.168.159.198,62999,4840,TCP,54,15,841,11349,0,,0,0,0,0,,,,,
474,2025-08-12 15:26:51.108193,192.168.159.241,192.168.159.198,63000,4840,TCP,116,16,1,1,65535,,0,0,0,0,,,,,
475,2025-08-12 15:26:51.167576,192.168.159.198,192.168.159.241,4840,63000,TCP,82,16,1,63,8192,,0,0,0,0,,,,,
476,2025-08-12 15:26:51.169149,192.168.159.241,192.168.159.198,63000,4840,TCP,187,16,63,29,65507,,0,0,0,0,,,,,
477,2025-08-12 15:26:51.182730,192.168.159.198,192.168.159.241,4840,63000,TCP,190,16,29,196,8192,,0,0,0,0,,,,,
478,2025-08-12 15:26:51.186389,192.168.159.241,192.168.159.198,63000,4840,TCP,355,16,196,165,65371,,0,0,0,0,,,,,
479,2025-08-12 15:26:51.300900,192.168.159.198,192.168.159.241,4840,63000,TCP,1514,16,165,497,8192,,0,0,0,0,,,,,
480,2025-08-12 15:26:51.302807,192.168.159.198,192.168.159.241,4840,63000,TCP,1514,16,1625,497,8192,,0,0,0,0,,,,,
481,2025-08-12 15:26:51.302863,192.168.159.241,192.168.159.198,63000,4840,TCP,54,16,497,3085,65535,,0,0,0,0,,,,,
482,2025-08-12 15:26:51.305795,192.168.159.198,192.168.159.241,4840,63000,TCP,1514,16,3085,497,8192,,0,0,0,0,,,,,
483,2025-08-12 15:26:51.308791,192.168.159.198,192.168.159.241,4840,63000,TCP,1514,16,4545,497,8192,,0,0,0,0,,,,,
484,2025-08-12 15:26:51.308842,192.168.159.241,192.168.159.198,63000,4840,TCP,54,16,497,6005,65535,,0,0,0,0,,,,,
485,2025-08-12 15:26:51.310823,192.168.159.198,192.168.159.241,4840,63000,TCP,1514,16,6005,497,8192,,0,0,0,0,,,,,
486,2025-08-12 15:26:51.311758,192.168.159.198,192.168.159.241,4840,63000,TCP,946,16,7465,497,8192,,0,0,0,0,,,,,
487,2025-08-12 15:26:51.311836,192.168.159.241,192.168.159.198,63000,4840,TCP,54,16,497,8357,65535,,0,0,0,0,,,,,
488,2025-08-12 15:26:51.318863,192.168.159.198,192.168.159.241,4840,63000,TCP,1514,16,8357,497,8192,,0,0,0,0,,,,,
489,2025-08-12 15:26:51.321808,192.168.159.198,192.168.159.241,4840,63000,TCP,1430,16,9817,497,8192,,0,0,0,0,,,,,
490,2025-08-12 15:26:51.321910,192.168.159.241,192.168.159.198,63000,4840,TCP,54,16,497,11193,65535,,0,0,0,0,,,,,
491,2025-08-12 15:26:51.327014,192.168.159.241,192.168.159.198,63000,4840,TCP,171,16,497,11193,65535,,0,0,0,0,,,,,
492,2025-08-12 15:26:51.347682,192.168.159.198,192.168.159.241,4840,63000,TCP,106,16,11193,614,8192,,0,0,0,0,,,,,
493,2025-08-12 15:26:51.352600,192.168.159.241,192.168.159.198,63000,4840,TCP,173,16,614,11245,65483,,0,0,0,0,,,,,
494,2025-08-12 15:26:51.467557,192.168.159.198,192.168.159.241,4840,63000,TCP,60,16,11245,733,8192,,0,0,0,0,,,,,
495,2025-08-12 15:26:51.467616,192.168.159.241,192.168.159.198,63000,4840,TCP,117,16,733,11245,65483,,0,0,0,0,,,,,
496,2025-08-12 15:26:51.480705,192.168.159.198,192.168.159.241,4840,63000,TCP,106,16,11245,796,8129,,0,0,0,0,,,,,
497,2025-08-12 15:26:51.482063,192.168.159.241,192.168.159.198,63000,4840,TCP,111,16,796,11297,65431,,0,0,0,0,,,,,
498,2025-08-12 15:26:51.483068,192.168.159.241,192.168.159.198,63000,4840,TCP,54,16,853,11297,65431,,0,0,0,0,,,,,
499,2025-08-12 15:26:51.484245,192.168.159.241,192.168.159.198,63001,4840,TCP,66,17,0,0,65535,,0,0,0,0,,,,,
500,2025-08-12 15:26:51.491574,192.168.159.198,192.168.159.241,4840,63000,TCP,60,16,11297,854,8135,,0,0,0,0,,,,,
501,2025-08-12 15:26:51.493699,192.168.159.198,192.168.159.241,4840,63001,TCP,60,17,0,1,8192,,0,0,0,0,,,,,
502,2025-08-12 15:26:51.493834,192.168.159.241,192.168.159.198,63001,4840,TCP,54,17,1,1,65535,,0,0,0,0,,,,,
503,2025-08-12 15:26:51.495574,192.168.159.241,192.168.159.198,63001,4840,TCP,116,17,1,1,65535,,0,0,0,0,,,,,
504,2025-08-12 15:26:51.520708,192.168.159.198,192.168.159.241,4840,63000,TCP,106,16,11297,854,8135,,0,0,0,0,,,,,
505,2025-08-12 15:26:51.520808,192.168.159.241,192.168.159.198,63000,4840,TCP,54,16,854,11349,0,,0,0,0,0,,,,,
506,2025-08-12 15:26:51.566705,192.168.159.198,192.168.159.241,4840,63001,TCP,82,17,1,63,8192,,0,0,0,0,,,,,
507,2025-08-12 15:26:51.569796,192.168.159.241,192.168.159.198,63001,4840,TCP,187,17,63,29,65507,,0,0,0,0,,,,,
508,2025-08-12 15:26:51.585676,192.168.159.198,192.168.159.241,4840,63001,TCP,190,17,29,196,8192,,0,0,0,0,,,,,
509,2025-08-12 15:26:51.589713,192.168.159.241,192.168.159.198,63001,4840,TCP,355,17,196,165,65371,,0,0,0,0,,,,,
510,2025-08-12 15:26:51.706089,192.168.159.198,192.168.159.241,4840,63001,TCP,1514,17,165,497,8192,,0,0,0,0,,,,,
511,2025-08-12 15:26:51.711004,192.168.159.198,192.168.159.241,4840,63001,TCP,1514,17,1625,497,8192,,0,0,0,0,,,,,
512,2025-08-12 15:26:51.711066,192.168.159.241,192.168.159.198,63001,4840,TCP,54,17,497,3085,65535,,0,0,0,0,,,,,
513,2025-08-12 15:26:51.714047,192.168.159.198,192.168.159.241,4840,63001,TCP,1514,17,3085,497,8192,,0,0,0,0,,,,,
514,2025-08-12 15:26:51.714047,192.168.159.198,192.168.159.241,4840,63001,TCP,1514,17,4545,497,8192,,0,0,0,0,,,,,
515,2025-08-12 15:26:51.714108,192.168.159.241,192.168.159.198,63001,4840,TCP,54,17,497,6005,65535,,0,0,0,0,,,,,
516,2025-08-12 15:26:51.715849,192.168.159.198,192.168.159.241,4840,63001,TCP,1514,17,6005,497,8192,,0,0,0,0,,,,,
517,2025-08-12 15:26:51.715849,192.168.159.198,192.168.159.241,4840,63001,TCP,946,17,7465,497,8192,,0,0,0,0,,,,,
518,2025-08-12 15:26:51.715936,192.168.159.241,192.168.159.198,63001,4840,TCP,54,17,497,8357,65535,,0,0,0,0,,,,,
519,2025-08-12 15:26:51.723930,192.168.159.198,192.168.159.241,4840,63001,TCP,1514,17,8357,497,8192,,0,0,0,0,,,,,
520,2025-08-12 15:26:51.726690,192.168.159.198,192.168.159.241,4840,63001,TCP,1430,17,9817,497,8192,,0,0,0,0,,,,,
521,2025-08-12 15:26:51.726752,192.168.159.241,192.168.159.198,63001,4840,TCP,54,17,497,11193,65535,,0,0,0,0,,,,,
522,2025-08-12 15:26:51.748516,192.168.159.241,192.168.159.198,63001,4840,TCP,171,17,497,11193,65535,,0,0,0,0,,,,,
523,2025-08-12 15:26:51.765704,192.168.159.198,192.168.159.241,4840,63001,TCP,106,17,11193,614,8192,,0,0,0,0,,,,,
524,2025-08-12 15:26:51.771962,192.168.159.241,192.168.159.198,63001,4840,TCP,200,17,614,11245,65483,,0,0,0,0,,,,,
525,2025-08-12 15:26:51.896909,192.168.159.198,192.168.159.241,4840,63001,TCP,106,17,11245,760,8192,,0,0,0,0,,,,,
526,2025-08-12 15:26:51.897039,192.168.159.241,192.168.159.198,63001,4840,TCP,117,17,760,11297,65431,,0,0,0,0,,,,,
527,2025-08-12 15:26:51.900209,192.168.159.241,192.168.159.198,63001,4840,TCP,111,17,823,11297,65431,,0,0,0,0,,,,,
528,2025-08-12 15:26:51.901998,192.168.159.241,192.168.159.198,63002,4840,TCP,66,18,0,0,65535,,0,0,0,0,,,,,
529,2025-08-12 15:26:51.909550,192.168.159.198,192.168.159.241,4840,63001,TCP,60,17,11297,881,8135,,0,0,0,0,,,,,
530,2025-08-12 15:26:51.916683,192.168.159.198,192.168.159.241,4840,63002,TCP,60,18,0,1,8192,,0,0,0,0,,,,,
531,2025-08-12 15:26:51.916867,192.168.159.241,192.168.159.198,63002,4840,TCP,54,18,1,1,65535,,0,0,0,0,,,,,
532,2025-08-12 15:26:51.917601,192.168.159.198,192.168.159.241,4840,63001,TCP,106,17,11297,881,8135,,0,0,0,0,,,,,
533,2025-08-12 15:26:51.917704,192.168.159.241,192.168.159.198,63001,4840,TCP,54,17,881,11349,0,,0,0,0,0,,,,,
534,2025-08-12 15:26:51.918616,192.168.159.241,192.168.159.198,63002,4840,TCP,116,18,1,1,65535,,0,0,0,0,,,,,
535,2025-08-12 15:26:51.977691,192.168.159.198,192.168.159.241,4840,63002,TCP,82,18,1,63,8192,,0,0,0,0,,,,,
536,2025-08-12 15:26:51.980599,192.168.159.241,192.168.159.198,63002,4840,TCP,187,18,63,29,65507,,0,0,0,0,,,,,
537,2025-08-12 15:26:51.998631,192.168.159.198,192.168.159.241,4840,63002,TCP,190,18,29,196,8192,,0,0,0,0,,,,,
538,2025-08-12 15:26:52.002662,192.168.159.241,192.168.159.198,63002,4840,TCP,355,18,196,165,65371,,0,0,0,0,,,,,
539,2025-08-12 15:26:52.121089,192.168.159.198,192.168.159.241,4840,63002,TCP,1514,18,165,497,8192,,0,0,0,0,,,,,
540,2025-08-12 15:26:52.121835,192.168.159.198,192.168.159.241,4840,63002,TCP,1514,18,1625,497,8192,,0,0,0,0,,,,,
541,2025-08-12 15:26:52.121906,192.168.159.241,192.168.159.198,63002,4840,TCP,54,18,497,3085,65535,,0,0,0,0,,,,,
542,2025-08-12 15:26:52.123839,192.168.159.198,192.168.159.241,4840,63002,TCP,1514,18,3085,497,8192,,0,0,0,0,,,,,
543,2025-08-12 15:26:52.123839,192.168.159.198,192.168.159.241,4840,63002,TCP,1514,18,4545,497,8192,,0,0,0,0,,,,,
544,2025-08-12 15:26:52.123899,192.168.159.241,192.168.159.198,63002,4840,TCP,54,18,497,6005,65535,,0,0,0,0,,,,,
545,2025-08-12 15:26:52.126741,192.168.159.198,192.168.159.241,4840,63002,TCP,1514,18,6005,497,8192,,0,0,0,0,,,,,
546,2025-08-12 15:26:52.128738,192.168.159.198,192.168.159.241,4840,63002,TCP,946,18,7465,497,8192,,0,0,0,0,,,,,
547,2025-08-12 15:26:52.128781,192.168.159.241,192.168.159.198,63002,4840,TCP,54,18,497,8357,65535,,0,0,0,0,,,,,
548,2025-08-12 15:26:52.134710,192.168.159.198,192.168.159.241,4840,63002,TCP,1514,18,8357,497,8192,,0,0,0,0,,,,,
549,2025-08-12 15:26:52.136794,192.168.159.198,192.168.159.241,4840,63002,TCP,1430,18,9817,497,8192,,0,0,0,0,,,,,
550,2025-08-12 15:26:52.136873,192.168.159.241,192.168.159.198,63002,4840,TCP,54,18,497,11193,65535,,0,0,0,0,,,,,
551,2025-08-12 15:26:52.142387,192.168.159.241,192.168.159.198,63002,4840,TCP,171,18,497,11193,65535,,0,0,0,0,,,,,
552,2025-08-12 15:26:52.159826,192.168.159.198,192.168.159.241,4840,63002,TCP,106,18,11193,614,8192,,0,0,0,0,,,,,
553,2025-08-12 15:26:52.165046,192.168.159.241,192.168.159.198,63002,4840,TCP,171,18,614,11245,65483,,0,0,0,0,,,,,
554,2025-08-12 15:26:52.290664,192.168.159.198,192.168.159.241,4840,63002,TCP,106,18,11245,731,8192,,0,0,0,0,,,,,
555,2025-08-12 15:26:52.290770,192.168.159.241,192.168.159.198,63002,4840,TCP,117,18,731,11297,65431,,0,0,0,0,,,,,
556,2025-08-12 15:26:52.293146,192.168.159.241,192.168.159.198,63002,4840,TCP,111,18,794,11297,65431,,0,0,0,0,,,,,
557,2025-08-12 15:26:52.294985,192.168.159.241,192.168.159.198,63003,4840,TCP,66,19,0,0,65535,,0,0,0,0,,,,,
558,2025-08-12 15:26:52.306896,192.168.159.198,192.168.159.241,4840,63002,TCP,60,18,11297,852,8135,,0,0,0,0,,,,,
559,2025-08-12 15:26:52.308749,192.168.159.198,192.168.159.241,4840,63003,TCP,60,19,0,1,8192,,0,0,0,0,,,,,
560,2025-08-12 15:26:52.308749,192.168.159.198,192.168.159.241,4840,63002,TCP,106,18,11297,852,8135,,0,0,0,0,,,,,
561,2025-08-12 15:26:52.308964,192.168.159.241,192.168.159.198,63002,4840,TCP,54,18,852,11349,0,,0,0,0,0,,,,,
562,2025-08-12 15:26:52.309000,192.168.159.241,192.168.159.198,63003,4840,TCP,54,19,1,1,65535,,0,0,0,0,,,,,
563,2025-08-12 15:26:52.310876,192.168.159.241,192.168.159.198,63003,4840,TCP,116,19,1,1,65535,,0,0,0,0,,,,,
564,2025-08-12 15:26:52.353797,192.168.159.198,192.168.159.241,4840,63003,TCP,82,19,1,63,8192,,0,0,0,0,,,,,
565,2025-08-12 15:26:52.357302,192.168.159.241,192.168.159.198,63003,4840,TCP,187,19,63,29,65507,,0,0,0,0,,,,,
566,2025-08-12 15:26:52.379704,192.168.159.198,192.168.159.241,4840,63003,TCP,190,19,29,196,8192,,0,0,0,0,,,,,
567,2025-08-12 15:26:52.384258,192.168.159.241,192.168.159.198,63003,4840,TCP,355,19,196,165,65371,,0,0,0,0,,,,,
568,2025-08-12 15:26:52.500061,192.168.159.198,192.168.159.241,4840,63003,TCP,1514,19,165,497,8192,,0,0,0,0,,,,,
569,2025-08-12 15:26:52.500061,192.168.159.198,192.168.159.241,4840,63003,TCP,1514,19,1625,497,8192,,0,0,0,0,,,,,
570,2025-08-12 15:26:52.500300,192.168.159.241,192.168.159.198,63003,4840,TCP,54,19,497,3085,65535,,0,0,0,0,,,,,
571,2025-08-12 15:26:52.502876,192.168.159.198,192.168.159.241,4840,63003,TCP,1514,19,3085,497,8192,,0,0,0,0,,,,,
572,2025-08-12 15:26:52.502876,192.168.159.198,192.168.159.241,4840,63003,TCP,1514,19,4545,497,8192,,0,0,0,0,,,,,
573,2025-08-12 15:26:52.503000,192.168.159.241,192.168.159.198,63003,4840,TCP,54,19,497,6005,65535,,0,0,0,0,,,,,
574,2025-08-12 15:26:52.507783,192.168.159.198,192.168.159.241,4840,63003,TCP,1514,19,6005,497,8192,,0,0,0,0,,,,,
575,2025-08-12 15:26:52.507783,192.168.159.198,192.168.159.241,4840,63003,TCP,946,19,7465,497,8192,,0,0,0,0,,,,,
576,2025-08-12 15:26:52.507851,192.168.159.241,192.168.159.198,63003,4840,TCP,54,19,497,8357,65535,,0,0,0,0,,,,,
577,2025-08-12 15:26:52.515787,192.168.159.198,192.168.159.241,4840,63003,TCP,1514,19,8357,497,8192,,0,0,0,0,,,,,
578,2025-08-12 15:26:52.515787,192.168.159.198,192.168.159.241,4840,63003,TCP,1430,19,9817,497,8192,,0,0,0,0,,,,,
579,2025-08-12 15:26:52.515892,192.168.159.241,192.168.159.198,63003,4840,TCP,54,19,497,11193,65535,,0,0,0,0,,,,,
580,2025-08-12 15:26:52.523133,192.168.159.241,192.168.159.198,63003,4840,TCP,171,19,497,11193,65535,,0,0,0,0,,,,,
581,2025-08-12 15:26:52.538563,192.168.159.198,192.168.159.241,4840,63003,TCP,106,19,11193,614,8192,,0,0,0,0,,,,,
582,2025-08-12 15:26:52.543484,192.168.159.241,192.168.159.198,63003,4840,TCP,196,19,614,11245,65483,,0,0,0,0,,,,,
583,2025-08-12 15:26:52.669594,192.168.159.198,192.168.159.241,4840,63003,TCP,106,19,11245,756,8192,,0,0,0,0,,,,,
584,2025-08-12 15:26:52.669695,192.168.159.241,192.168.159.198,63003,4840,TCP,117,19,756,11297,65431,,0,0,0,0,,,,,
585,2025-08-12 15:26:52.672028,192.168.159.241,192.168.159.198,63003,4840,TCP,111,19,819,11297,65431,,0,0,0,0,,,,,
586,2025-08-12 15:26:52.674220,192.168.159.241,192.168.159.198,63004,4840,TCP,66,20,0,0,65535,,0,0,0,0,,,,,
587,2025-08-12 15:26:52.685575,192.168.159.198,192.168.159.241,4840,63003,TCP,60,19,11297,877,8135,,0,0,0,0,,,,,
588,2025-08-12 15:26:52.687512,192.168.159.198,192.168.159.241,4840,63004,TCP,60,20,0,1,8192,,0,0,0,0,,,,,
589,2025-08-12 15:26:52.687630,192.168.159.241,192.168.159.198,63004,4840,TCP,54,20,1,1,65535,,0,0,0,0,,,,,
590,2025-08-12 15:26:52.688879,192.168.159.241,192.168.159.198,63004,4840,TCP,116,20,1,1,65535,,0,0,0,0,,,,,
591,2025-08-12 15:26:52.690540,192.168.159.198,192.168.159.241,4840,63003,TCP,106,19,11297,877,8135,,0,0,0,0,,,,,
592,2025-08-12 15:26:52.690599,192.168.159.241,192.168.159.198,63003,4840,TCP,54,19,877,11349,0,,0,0,0,0,,,,,
593,2025-08-12 15:26:52.747632,192.168.159.198,192.168.159.241,4840,63004,TCP,82,20,1,63,8192,,0,0,0,0,,,,,
594,2025-08-12 15:26:52.751291,192.168.159.241,192.168.159.198,63004,4840,TCP,187,20,63,29,65507,,0,0,0,0,,,,,
595,2025-08-12 15:26:52.768645,192.168.159.198,192.168.159.241,4840,63004,TCP,190,20,29,196,8192,,0,0,0,0,,,,,
596,2025-08-12 15:26:52.772700,192.168.159.241,192.168.159.198,63004,4840,TCP,355,20,196,165,65371,,0,0,0,0,,,,,
597,2025-08-12 15:26:52.890060,192.168.159.198,192.168.159.241,4840,63004,TCP,1514,20,165,497,8192,,0,0,0,0,,,,,
598,2025-08-12 15:26:52.891738,192.168.159.198,192.168.159.241,4840,63004,TCP,1514,20,1625,497,8192,,0,0,0,0,,,,,
599,2025-08-12 15:26:52.891738,192.168.159.198,192.168.159.241,4840,63004,TCP,1514,20,3085,497,8192,,0,0,0,0,,,,,
600,2025-08-12 15:26:52.891819,192.168.159.241,192.168.159.198,63004,4840,TCP,54,20,497,4545,65535,,0,0,0,0,,,,,
601,2025-08-12 15:26:52.894699,192.168.159.198,192.168.159.241,4840,63004,TCP,1514,20,4545,497,8192,,0,0,0,0,,,,,
602,2025-08-12 15:26:52.894751,192.168.159.241,192.168.159.198,63004,4840,TCP,54,20,497,6005,65535,,0,0,0,0,,,,,
603,2025-08-12 15:26:52.896784,192.168.159.198,192.168.159.241,4840,63004,TCP,1514,20,6005,497,8192,,0,0,0,0,,,,,
604,2025-08-12 15:26:52.897728,192.168.159.198,192.168.159.241,4840,63004,TCP,946,20,7465,497,8192,,0,0,0,0,,,,,
605,2025-08-12 15:26:52.897774,192.168.159.241,192.168.159.198,63004,4840,TCP,54,20,497,8357,65535,,0,0,0,0,,,,,
606,2025-08-12 15:26:52.904819,192.168.159.198,192.168.159.241,4840,63004,TCP,1514,20,8357,497,8192,,0,0,0,0,,,,,
607,2025-08-12 15:26:52.907695,192.168.159.198,192.168.159.241,4840,63004,TCP,1430,20,9817,497,8192,,0,0,0,0,,,,,
608,2025-08-12 15:26:52.907791,192.168.159.241,192.168.159.198,63004,4840,TCP,54,20,497,11193,65535,,0,0,0,0,,,,,
609,2025-08-12 15:26:52.911843,192.168.159.241,192.168.159.198,63004,4840,TCP,171,20,497,11193,65535,,0,0,0,0,,,,,
610,2025-08-12 15:26:52.928690,192.168.159.198,192.168.159.241,4840,63004,TCP,106,20,11193,614,8192,,0,0,0,0,,,,,
611,2025-08-12 15:26:52.935024,192.168.159.241,192.168.159.198,63004,4840,TCP,176,20,614,11245,65483,,0,0,0,0,,,,,
612,2025-08-12 15:26:53.061558,192.168.159.198,192.168.159.241,4840,63004,TCP,106,20,11245,736,8192,,0,0,0,0,,,,,
