frame_no,rel_time,src,dst,srcport,dstport,proto,length,tcp_stream,seq,ack,win,flags,is_retx,is_ooo,is_ka,is_zerowin,opcua_type,opcua_service,opcua_reqid,opcua_seq,opcua_chunk
1814,2025-08-12 15:27:08.738097,192.168.159.241,192.168.159.198,63049,4840,TCP,54,61,497,8357,64643,,0,0,0,0,,,,,
1815,2025-08-12 15:27:08.742949,192.168.159.198,192.168.159.241,4840,63049,TCP,1514,61,8357,497,8192,,0,0,0,0,,,,,
1816,2025-08-12 15:27:08.744818,192.168.159.198,192.168.159.241,4840,63049,TCP,1430,61,9817,497,8192,,0,0,0,0,,,,,
1817,2025-08-12 15:27:08.744873,192.168.159.241,192.168.159.198,63049,4840,TCP,54,61,497,11193,65535,,0,0,0,0,,,,,
1818,2025-08-12 15:27:08.755679,192.168.159.241,192.168.159.198,63049,4840,TCP,171,61,497,11193,65535,,0,0,0,0,,,,,
1819,2025-08-12 15:27:08.774052,192.168.159.198,192.168.159.241,4840,63049,TCP,106,61,11193,614,8192,,0,0,0,0,,,,,
1820,2025-08-12 15:27:08.780256,192.168.159.241,192.168.159.198,63049,4840,TCP,7354,61,614,11245,65483,,0,0,0,0,,,,,
1821,2025-08-12 15:27:08.786806,192.168.159.198,192.168.159.241,4840,63049,TCP,60,61,11245,3534,6732,,0,0,0,0,,,,,
1822,2025-08-12 15:27:08.786887,192.168.159.241,192.168.159.198,63049,4840,TCP,1514,61,7914,11245,65483,,0,0,0,0,,,,,
1823,2025-08-12 15:27:08.791768,192.168.159.198,192.168.159.241,4840,63049,TCP,60,61,11245,6454,3812,,0,0,0,0,,,,,
1824,2025-08-12 15:27:08.794785,192.168.159.198,192.168.159.241,4840,63049,TCP,60,61,11245,7914,0,,0,0,0,0,,,,,
1825,2025-08-12 15:27:08.797698,192.168.159.198,192.168.159.241,4840,63049,TCP,60,61,11245,0,0,,0,0,0,0,,,,,
1826,2025-08-12 15:27:08.810082,192.168.159.241,192.168.159.198,63050,4840,TCP,66,62,0,0,65535,,0,0,0,0,,,,,
1827,2025-08-12 15:27:08.812760,192.168.159.198,192.168.159.241,4840,63050,TCP,60,62,0,1,8192,,0,0,0,0,,,,,
1828,2025-08-12 15:27:08.812875,192.168.159.241,192.168.159.198,63050,4840,TCP,54,62,1,1,65535,,0,0,0,0,,,,,
1829,2025-08-12 15:27:08.814863,192.168.159.241,192.168.159.198,63050,4840,TCP,116,62,1,1,65535,,0,0,0,0,,,,,
1830,2025-08-12 15:27:08.849693,192.168.159.198,192.168.159.241,4840,63050,TCP,82,62,1,63,8192,,0,0,0,0,,,,,
1831,2025-08-12 15:27:08.853223,192.168.159.241,192.168.159.198,63050,4840,TCP,187,62,63,29,65507,,0,0,0,0,,,,,
1832,2025-08-12 15:27:08.870743,192.168.159.198,192.168.159.241,4840,63050,TCP,190,62,29,196,8192,,0,0,0,0,,,,,
1833,2025-08-12 15:27:08.876149,192.168.159.241,192.168.159.198,63050,4840,TCP,355,62,196,165,65371,,0,0,0,0,,,,,
1834,2025-08-12 15:27:08.992868,192.168.159.198,192.168.159.241,4840,63050,TCP,1514,62,165,497,8192,,0,0,0,0,,,,,
1835,2025-08-12 15:27:08.995832,192.168.159.198,192.168.159.241,4840,63050,TCP,1514,62,1625,497,8192,,0,0,0,0,,,,,
1836,2025-08-12 15:27:08.995832,192.168.159.198,192.168.159.241,4840,63050,TCP,1514,62,3085,497,8192,,0,0,0,0,,,,,
1837,2025-08-12 15:27:08.995911,192.168.159.241,192.168.159.198,63050,4840,TCP,54,62,497,4545,65535,,0,0,0,0,,,,,
1838,2025-08-12 15:27:08.998784,192.168.159.198,192.168.159.241,4840,63050,TCP,1514,62,4545,497,8192,,0,0,0,0,,,,,
1839,2025-08-12 15:27:08.998784,192.168.159.198,192.168.159.241,4840,63050,TCP,1514,62,6005,497,8192,,0,0,0,0,,,,,
1840,2025-08-12 15:27:08.998831,192.168.159.241,192.168.159.198,63050,4840,TCP,54,62,497,7465,65535,,0,0,0,0,,,,,
1841,2025-08-12 15:27:09.000849,192.168.159.198,192.168.159.241,4840,63050,TCP,946,62,7465,497,8192,,0,0,0,0,,,,,
1842,2025-08-12 15:27:09.000918,192.168.159.241,192.168.159.198,63050,4840,TCP,54,62,497,8357,64643,,0,0,0,0,,,,,
1843,2025-08-12 15:27:09.008968,192.168.159.198,192.168.159.241,4840,63050,TCP,1514,62,8357,497,8192,,0,0,0,0,,,,,
1844,2025-08-12 15:27:09.008968,192.168.159.198,192.168.159.241,4840,63050,TCP,1430,62,9817,497,8192,,0,0,0,0,,,,,
1845,2025-08-12 15:27:09.009086,192.168.159.241,192.168.159.198,63050,4840,TCP,54,62,497,11193,65535,,0,0,0,0,,,,,
1846,2025-08-12 15:27:09.019701,192.168.159.241,192.168.159.198,63050,4840,TCP,171,62,497,11193,65535,,0,0,0,0,,,,,
1847,2025-08-12 15:27:09.037649,192.168.159.198,192.168.159.241,4840,63050,TCP,106,62,11193,614,8192,,0,0,0,0,,,,,
1848,2025-08-12 15:27:09.041761,192.168.159.241,192.168.159.198,63050,4840,TCP,7354,62,614,11245,65483,,0,0,0,0,,,,,
1849,2025-08-12 15:27:09.047674,192.168.159.198,192.168.159.241,4840,63050,TCP,60,62,11245,3534,6732,,0,0,0,0,,,,,
1850,2025-08-12 15:27:09.047738,192.168.159.241,192.168.159.198,63050,4840,TCP,1514,62,7914,11245,65483,,0,0,0,0,,,,,
1851,2025-08-12 15:27:09.050673,192.168.159.198,192.168.159.241,4840,63050,TCP,60,62,11245,6454,3812,,0,0,0,0,,,,,
1852,2025-08-12 15:27:09.055774,192.168.159.198,192.168.159.241,4840,63050,TCP,60,62,11245,9374,892,,0,0,0,0,,,,,
1853,2025-08-12 15:27:09.058786,192.168.159.198,192.168.159.241,4840,63050,TCP,60,62,11245,9374,0,,0,0,0,0,,,,,
1854,2025-08-12 15:27:09.076199,192.168.159.241,192.168.159.198,63051,4840,TCP,66,63,0,0,65535,,0,0,0,0,,,,,
1855,2025-08-12 15:27:09.078772,192.168.159.198,192.168.159.241,4840,63051,TCP,60,63,0,1,8192,,0,0,0,0,,,,,
1856,2025-08-12 15:27:09.078943,192.168.159.241,192.168.159.198,63051,4840,TCP,54,63,1,1,65535,,0,0,0,0,,,,,
1857,2025-08-12 15:27:09.080890,192.168.159.241,192.168.159.198,63051,4840,TCP,116,63,1,1,65535,,0,0,0,0,,,,,
1858,2025-08-12 15:27:09.113806,192.168.159.198,192.168.159.241,4840,63051,TCP,82,63,1,63,8192,,0,0,0,0,,,,,
1859,2025-08-12 15:27:09.117582,192.168.159.241,192.168.159.198,63051,4840,TCP,187,63,63,29,65507,,0,0,0,0,,,,,
1860,2025-08-12 15:27:09.131770,192.168.159.198,192.168.159.241,4840,63051,TCP,190,63,29,196,8192,,0,0,0,0,,,,,
1861,2025-08-12 15:27:09.138527,192.168.159.241,192.168.159.198,63051,4840,TCP,355,63,196,165,65371,,0,0,0,0,,,,,
1862,2025-08-12 15:27:09.254194,192.168.159.198,192.168.159.241,4840,63051,TCP,1514,63,165,497,8192,,0,0,0,0,,,,,
1863,2025-08-12 15:27:09.256936,192.168.159.198,192.168.159.241,4840,63051,TCP,1514,63,1625,497,8192,,0,0,0,0,,,,,
1864,2025-08-12 15:27:09.256936,192.168.159.198,192.168.159.241,4840,63051,TCP,1514,63,3085,497,8192,,0,0,0,0,,,,,
1865,2025-08-12 15:27:09.257009,192.168.159.241,192.168.159.198,63051,4840,TCP,54,63,497,4545,65535,,0,0,0,0,,,,,
1866,2025-08-12 15:27:09.257941,192.168.159.198,192.168.159.241,4840,63051,TCP,1514,63,4545,497,8192,,0,0,0,0,,,,,
1867,2025-08-12 15:27:09.257997,192.168.159.241,192.168.159.198,63051,4840,TCP,54,63,497,6005,65535,,0,0,0,0,,,,,
