"No.","Time","Source","Destination","Protocol","Length","Info"
"2495","34.458172","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2496","34.458297","192.168.159.241","192.168.159.198","OpcUa","117","UA Secure Conversation Message: CloseSessionRequest"
"2497","34.461555","192.168.159.241","192.168.159.198","OpcUa","111","CloseSecureChannel message: CloseSecureChannelRequest"
"2498","34.463714","192.168.159.241","192.168.159.198","TCP","66","63071  >  4840 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"2499","34.469094","192.168.159.198","192.168.159.241","TCP","60","4840  >  63070 [ACK] Seq=11297 Ack=878 Win=8135 Len=0"
"2500","34.471103","192.168.159.198","192.168.159.241","TCP","60","4840  >  63071 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"2501","34.471283","192.168.159.241","192.168.159.198","TCP","54","63071  >  4840 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"2502","34.473538","192.168.159.241","192.168.159.198","OpcUa","116","Hello message"
"2503","34.487148","192.168.159.198","192.168.159.241","OpcUa","106","UA Secure Conversation Message: ServiceFault"
"2504","34.487277","192.168.159.241","192.168.159.198","TCP","54","63070  >  4840 [RST, ACK] Seq=878 Ack=11349 Win=0 Len=0"
"2505","34.538981","192.168.159.198","192.168.159.241","OpcUa","82","Acknowledge message"
"2506","34.541345","TPLink_73:76:c4","Broadcast","Realtek","60",""
"2507","34.542418","192.168.159.241","192.168.159.198","OpcUa","187","OpenSecureChannel message"
"2508","34.555066","192.168.159.198","192.168.159.241","OpcUa","190","OpenSecureChannel message"
"2509","34.558924","192.168.159.241","192.168.159.198","OpcUa","355","UA Secure Conversation Message: CreateSessionRequest"
"2510","34.675389","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63071 [ACK] Seq=165 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2517]"
"2511","34.677235","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63071 [ACK] Seq=1625 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2517]"
"2512","34.677318","192.168.159.241","192.168.159.198","TCP","54","63071  >  4840 [ACK] Seq=497 Ack=3085 Win=65535 Len=0"
"2513","34.683232","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63071 [ACK] Seq=3085 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2517]"
"2514","34.685208","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63071 [ACK] Seq=4545 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2517]"
"2515","34.685256","192.168.159.241","192.168.159.198","TCP","54","63071  >  4840 [ACK] Seq=497 Ack=6005 Win=65535 Len=0"
"2516","34.688219","192.168.159.198","192.168.159.241","TCP","1514","4840  >  63071 [ACK] Seq=6005 Ack=497 Win=8192 Len=1460 [TCP PDU reassembled in 2517]"
